215 - Lakewood	6dcbe84a-d322-4121-819c-9e95fbee7901	201
217 - Anaheim	0184ee57-288c-4bd0-a40a-99617f534235	160
218 - Orange	10871501-d0e5-485b-9b48-94d523395a9c	166
219 - Huntington Beach	0545600a-ad8b-425c-ba65-2ca2e7e43530	199
220 - Costa Mesa	3c591a6c-3174-4e51-ac3f-d6bd9180373c	276
222 - Whittier	56f189ab-e837-409f-9070-f15b135d357a	350
223 - South Torrance	6e5bf60e-9b0d-40ce-ae9e-baa997351589	301
224 - West Covina	8f55b444-968c-46b5-9e73-119793350017	160
225 - Claremont	e755458d-3948-412d-9ce5-bb79569c04c7	419
242 - Van Nuys	3aeb7f3a-6524-4d8d-a0b0-34e4875a568d	1220
243 - Santa Ana	b39c50e8-df51-4bce-8405-9b38b57e85e5	209
244 - Downey	c128c598-d7a3-49b3-91ce-8aba11ea244f	201
245 - Riverside	9d35968e-d643-499e-9d40-13f2e49b9256	786
250 - La Cienega	ada0939c-683f-425b-8160-80b1f828aec1	1150
261 - Pico Rivera	52100969-d713-4d9c-98c4-b08d00165501	88
262 - El Monte	6778c11e-fe6e-4bb2-90f0-22e8065d730b	309
264 - Inglewood	469d05f9-b494-4bbf-91f7-68c97e66bffc	535
265 - Rialto	2e76328e-1731-48fb-b8ab-f68c79fd0014	1126
270 - Ontario	93f40990-6686-42a8-a145-4c46fcc8cc57	1298
299 - Norms Support Center	6330baf0-6c6f-49d8-b59a-dd08686277d2	132
